nome;caracteristicas;ano;data_registro
jeep grand cherokee;6 cylinders|gas|other|rwd|SUV|silver;2012;2021-05-01
kia sportage;4 cylinders|gas|other|4wd|SUV|blue;2013;2021-05-01
ford mustang;6 cylinders|gas|manual|rwd|coupe|silver;2012;2021-05-01
jeep cherokee;6 cylinders|gas|automatic|4wd|SUV|white;1998;2021-05-01
ford f-150;excellent|6 cylinders|gas|automatic|fwd|truck|white;2011;2021-05-01
mercedes-benz benz;fair|6 cylinders|gas|automatic|rwd|coupe|silver;1972;2021-05-01
toyota tundra;like new|8 cylinders|gas|automatic|4wd|truck|white;2019;2021-05-01
hyundai accent;4 cylinders|gas|automatic|fwd|sedan|white;2009;2021-05-01
chrysler 300;6 cylinders|gas|automatic|rwd|sedan|blue;2012;2021-05-01
chevrolet impala;fair|4 cylinders|gas|automatic|fwd|sedan|blue;2005;2021-05-01
nissan altima 3.5 sl;excellent|6 cylinders|gas|automatic|fwd|sedan|brown;2005;2021-05-01
toyota tacoma;6 cylinders|gas|automatic|rwd|pickup|grey;2016;2021-05-01
ferrari 360 modena;good|8 cylinders|gas|automatic|rwd|convertible|red;2001;2021-05-01
mini cooper;gas|manual|fwd|silver;2017;2021-05-01
toyota 4runner;gas|automatic|4wd|black;2012;2021-05-01
toyota 4runner sport edition;gas|automatic;2007;2021-05-01
ford f250 super duty;excellent|8 cylinders|gas|automatic|4wd|truck|white;2011;2021-04-30
ford crown vic;gas|automatic;2001;2021-04-30
pontiac grand prix;6 cylinders|gas|automatic|fwd|sedan|white;2006;2021-04-30
acura mdx;good|6 cylinders|gas|automatic|SUV|black;2011;2021-04-30
mercedes-benz benz c350;good|6 cylinders|gas|automatic|rwd|sedan|silver;2008;2021-04-30
dodge durango;8 cylinders|gas|automatic|rwd|SUV|blue;2003;2021-04-30
nissan pathfinder;good|6 cylinders|gas|automatic|fwd|SUV|white;2013;2021-04-30
kia soul;4 cylinders|gas|automatic|fwd|wagon|silver;2012;2021-04-30
ford taurus;6 cylinders|gas|automatic|fwd|sedan|white;2006;2021-04-30
ford f250 super duty;gas|automatic|white;2012;2021-04-30
chevrolet cobalt;4 cylinders|gas|automatic|fwd|sedan|silver;2010;2021-04-30
chevrolet silverado 2500 z71 4x4;like new|8 cylinders|diesel|automatic|4wd|truck|silver;2017;2021-04-30
ram 3500 laramie 4x4;like new|6 cylinders|diesel|automatic|4wd|truck|black;2016;2021-04-30
lexus rx350;good|6 cylinders|gas|automatic|fwd|SUV|white;2007;2021-04-30
chevrolet tahoe;good|8 cylinders|gas|automatic|4wd|SUV|grey;2021;2021-04-30
audi q7;good|6 cylinders|gas|automatic|4wd|SUV|white;2017;2021-04-30
chevrolet trax;good|4 cylinders|gas|automatic|4wd|SUV|grey;2019;2021-04-30
chevrolet hhr;4 cylinders|automatic|rwd|SUV|red;2010;2021-04-30
dodge charger;gas|automatic;2017;2021-04-30
mitsubishi eclipse;good|4 cylinders|gas|manual|fwd|hatchback|black;2007;2021-04-30
chevrolet silverado 1500 regular;good|6 cylinders|gas|other|pickup|white;2017;2021-04-30
honda accord sedan;4 cylinders|gas|automatic|fwd|sedan|silver;2006;2021-04-30
toyota prius;excellent|4 cylinders|hybrid|automatic|fwd|wagon|blue;2013;2021-04-30
ford f150 super cab xl pickup 4d;good|6 cylinders|gas|other|pickup|white;2018;2021-04-30
nissan 370z nismo coupe 2d;good|6 cylinders|gas|other|rwd|coupe|white;2019;2021-04-30
toyota tacoma double cab sr5;good|other|other|pickup|red;2016;2021-04-30
ford escape;4 cylinders|gas|other|fwd|SUV|black;2013;2021-04-30
toyota camry;like new|4 cylinders|gas|automatic|fwd|sedan|white;2002;2021-04-30
ford taurus;6 cylinders|gas|automatic|fwd|sedan|blue;2007;2021-04-30
toyota camry;excellent|4 cylinders|hybrid|automatic|fwd|sedan|grey;2013;2021-04-30
